Asian,"Black, non-Hispanic",Hispanic,Multiracial,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander,"White, non-Hispanic",actSatNumberParticipation,apCourseParticipation,apCoursePassed,freeAndReducedPriceLunch,gsID,idea,percentTeachersInFirstSecondYear,plan504
45.63,6.52,11.87,3.96,0.17,0.76,31.08,1071.0,46.8,885.0,18.16,1.0,8.8,7.9,1.5
39.42,3.05,13.03,16.07,0.0,0.51,27.92,1071.0,46.8,885.0,6.26,2.0,10.1,4.2,0.0
39.23,3.7,14.31,16.24,0.16,0.16,26.21,1071.0,46.8,885.0,7.4,4.0,8.5,11.1,1.7
14.23,1.88,13.39,12.97,0.42,0.0,57.11,1071.0,46.8,885.0,11.3,5.0,8.4,0.0,0.0
35.63,17.51,16.69,6.66,0.3,1.42,21.78,178.0,46.8,885.0,40.34,6.0,10.9,1.8,2.0
15.04,2.95,17.11,12.98,0.0,0.0,51.92,178.0,46.8,885.0,13.57,7.0,7.2,18.2,0.6
38.58,10.73,22.15,10.73,0.46,1.14,16.21,178.0,46.8,885.0,50.68,8.0,8.4,10.0,1.8
10.26,18.8,39.32,7.69,1.71,2.56,19.66,4.0,46.8,885.0,46.15,9.0,11.2,10.0,3.9
44.03,4.28,10.25,5.41,0.23,0.79,35.02,4.0,46.8,885.0,12.61,10.0,9.9,2.6,2.3
40.96,4.23,18.65,12.69,0.19,0.96,22.31,4.0,46.8,885.0,26.15,12.0,7.4,4.3,0.0
22.26,3.37,15.35,18.04,0.17,0.34,40.47,4.0,46.8,885.0,17.03,14.0,8.1,4.0,1.4
34.01,6.73,21.21,13.47,0.67,0.34,23.57,4.0,46.8,885.0,42.09,15.0,10.1,10.5,0.6
46.37,14.53,15.17,4.91,0.21,2.56,16.24,4.0,46.8,885.0,46.37,17.0,13.9,17.9,1.7
30.33,4.88,16.61,10.41,0.25,0.33,37.19,207.0,35.4,517.0,17.02,19.0,9.5,13.6,5.3
29.27,3.46,15.87,10.84,0.11,0.22,40.22,207.0,35.4,517.0,17.43,20.0,8.3,4.3,3.1
29.74,2.92,12.23,17.34,0.0,0.18,37.59,207.0,35.4,517.0,10.95,21.0,6.2,0.0,0.7
6.25,31.25,43.75,12.5,0.0,0.0,6.25,0.0,35.4,517.0,56.25,22.0,8.5,0.0,8.5
19.11,2.21,15.09,15.49,0.2,0.0,47.89,0.0,35.4,517.0,13.68,23.0,6.9,7.8,1.4
9.48,18.5,21.43,10.54,0.35,0.19,39.51,867.0,33.4,1157.0,27.66,25.0,10.1,2.2,0.9
6.48,12.1,22.46,13.39,0.0,0.0,45.57,867.0,33.4,1157.0,30.24,26.0,9.9,0.0,1.6
5.01,17.18,25.06,15.04,0.24,0.24,37.23,867.0,33.4,1157.0,37.47,27.0,11.4,0.0,0.5
8.52,21.31,17.7,14.43,0.0,0.0,38.03,867.0,33.4,1157.0,41.31,29.0,9.8,0.0,2.4
8.77,11.61,17.54,17.06,0.24,0.24,44.55,867.0,33.4,1157.0,31.28,30.0,11.4,1.2,1.2
7.89,13.34,17.82,12.76,0.29,0.39,47.52,867.0,33.4,1157.0,35.15,31.0,12.9,0.0,1.4
4.52,15.25,48.02,10.17,0.85,0.0,21.19,867.0,33.4,1157.0,45.2,32.0,9.9,5.9,1.2
5.86,24.02,37.11,10.16,0.0,0.0,22.85,867.0,33.4,1157.0,50.0,33.0,18.6,3.6,1.5
7.01,16.29,15.59,16.29,0.0,0.0,44.83,867.0,33.4,1157.0,31.0,34.0,10.8,4.2,0.9
10.27,22.26,17.81,14.04,0.0,0.0,35.62,867.0,33.4,1157.0,44.86,35.0,11.6,0.0,0.8
