,Wounded,Gender of Victims (M/F/Both),Targeted Specific Victim(s),Suicide (or attempted suicide) by Shooter (Y/N),Pre-planned school attack,Day of week (formula),School Type,Number of Shooters,Killed
0,0.0,0,0,0,0,0,2,1.0,1
1,1.0,0,0,0,0,0,1,1.0,0
2,0.0,-1,1,0,0,0,2,1.0,0
3,1.0,0,1,0,0,4,2,1.0,0
4,2.0,0,0,0,0,0,2,2.0,0
5,5.0,2,1,0,0,2,2,8.0,1
6,0.0,0,1,0,0,2,2,1.0,1
7,1.0,0,1,0,0,4,2,1.0,0
8,2.0,2,0,0,0,4,2,1.0,0
9,1.0,0,1,0,0,4,2,2.0,0
10,0.0,0,1,0,0,0,0,1.0,1
11,2.0,0,1,0,0,0,2,1.0,1
12,1.0,1,1,0,0,0,2,1.0,0
13,4.0,0,1,0,0,0,2,0,0
14,0.0,0,1,0,0,0,2,1.0,1
15,1.0,0,1,0,0,1,1,1.0,0
16,1.0,0,1,0,0,1,1,1.0,0
17,2.0,2,-1,0,0,4,2,1.0,0
18,0.0,0,-2,-1,-1,5,2,0,1
19,0.0,0,1,0,1,1,1,1.0,1
20,1.0,0,1,0,0,4,2,1.0,0
21,2.0,-1,1,0,0,2,2,1.0,0
22,0.0,0,1,0,0,3,1,1.0,1
23,1.0,1,0,0,0,1,1,1.0,0
24,1.0,1,1,0,0,0,2,1.0,0
25,1.0,0,1,0,0,3,2,1.0,0
26,0.0,0,0,1,0,2,1,1.0,1
27,1.0,0,1,0,0,4,2,1.0,0
28,0.0,0,1,0,0,3,2,1.0,1
29,0.0,0,1,0,0,4,2,1.0,1
30,0.0,-1,1,0,0,1,2,1.0,0
31,2.0,2,0,0,0,2,1,1.0,1
32,1.0,0,1,0,0,3,2,1.0,0
33,2.0,0,0,0,0,4,2,2.0,0
34,1.0,0,0,0,0,4,2,1.0,0
35,1.0,0,0,1,0,2,0,1.0,1
36,0.0,0,1,0,0,0,0,1.0,1
37,0.0,0,1,0,0,2,2,1.0,1
38,4.0,2,1,0,0,0,1,2.0,0
39,1.0,0,1,0,0,0,2,1.0,0
40,0.0,1,1,0,0,2,0,1.0,1
41,1.0,0,1,0,0,0,2,1.0,0
42,1.0,0,1,0,0,2,1,1.0,0
43,1.0,0,0,0,0,2,1,1.0,0
44,0.0,0,1,0,0,0,2,0,1
45,0.0,0,1,-1,-1,1,2,0,1
46,1.0,0,0,0,0,0,1,1.0,0
47,1.0,0,0,0,0,0,1,1.0,0
48,1.0,1,1,1,0,2,1,1.0,1
49,0.0,0,1,0,0,3,0,1.0,1
50,0.0,0,1,0,0,4,2,1.0,1
51,1.0,0,1,0,0,3,1,1.0,0
52,2.0,0,1,0,0,4,2,1.0,0
53,1.0,1,1,0,0,1,1,1.0,0
54,1.0,1,1,0,0,3,1,1.0,0
55,5.0,2,1,0,0,5,2,2.0,0
56,5.0,2,1,0,1,0,2,1.0,0
57,1.0,0,-1,0,0,2,2,1.0,0
58,4.0,2,1,0,0,4,2,1.0,0
59,2.0,0,1,0,0,3,2,2.0,0
60,1.0,0,1,0,0,2,2,1.0,0
61,1.0,0,-1,0,0,0,2,1.0,0
62,1.0,2,0,0,0,0,2,1.0,1
63,2.0,0,1,0,0,3,2,1.0,0
64,3.0,2,1,0,0,1,2,1.0,0
65,4.0,2,1,0,0,4,2,1.0,0
66,0.0,1,1,1,0,1,2,1.0,2
67,0.0,0,-1,0,0,4,2,1.0,1
68,1.0,0,0,0,0,1,2,2.0,0
69,1.0,0,1,0,0,1,2,1.0,0
70,1.0,0,1,0,0,2,2,1.0,0
71,1.0,0,1,0,0,2,2,1.0,0
72,0.0,0,1,0,0,3,2,1.0,1
73,1.0,1,-1,0,0,4,2,0,1
74,1.0,0,1,0,0,3,2,1.0,0
75,1.0,0,1,0,0,3,2,1.0,0
76,3.0,0,1,0,1,3,0,1.0,1
77,0.0,0,0,0,0,1,2,1.0,1
78,0.0,0,0,0,0,3,1,1.0,2
79,0.0,0,1,0,1,4,2,1.0,1
80,2.0,2,-1,0,0,1,3,1.0,0
81,0.0,0,1,0,0,4,2,1.0,1
82,0.0,-1,1,0,0,6,0,1.0,0
83,1.0,0,1,0,0,0,2,0,0
84,1.0,0,-1,0,0,2,2,1.0,0
85,1.0,0,0,0,0,0,2,1.0,1
86,1.0,0,0,0,0,0,2,1.0,0
87,1.0,0,1,0,0,0,2,0,0
88,1.0,0,1,0,0,3,1,1.0,1
89,0.0,-1,1,0,0,0,2,2.0,0
90,1.0,0,1,0,0,2,2,1.0,1
91,11.0,2,0,0,1,0,2,1.0,3
92,1.0,0,1,1,0,4,3,1.0,0
93,1.0,2,1,0,1,0,1,1.0,1
94,2.0,0,-1,0,0,2,2,0,0
95,0.0,0,1,0,1,1,2,1.0,1
96,1.0,1,0,0,0,4,0,1.0,0
97,1.0,0,1,0,1,4,2,1.0,0
98,1.0,0,1,0,0,3,1,1.0,0
99,0.0,0,1,0,0,1,3,1.0,1
100,1.0,1,1,0,0,2,0,1.0,0
101,2.0,2,1,0,0,4,2,1.0,0
102,5.0,0,1,0,0,3,2,1.0,1
103,0.0,0,1,0,0,2,0,1.0,1
104,1.0,0,1,0,0,4,2,1.0,0
105,1.0,0,1,0,0,3,2,1.0,0
106,1.0,0,-1,0,0,3,2,0,0
107,1.0,2,1,0,0,4,2,1.0,1
108,4.0,0,0,0,0,4,2,0,0
109,5.0,0,0,0,0,3,2,2.0,0
110,1.0,0,1,0,0,0,2,1.0,1
111,1.0,0,0,0,0,3,0,1.0,0
112,1.0,0,1,0,0,4,2,1.0,0
113,0.0,-1,-1,0,0,2,2,0,0
114,1.0,2,0,1,0,0,3,1.0,1
115,0.0,1,1,0,0,2,0,1.0,1
