Asian,"Black, non-Hispanic",Hispanic,Multiracial,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander,"White, non-Hispanic",actSatNumberParticipation,apCourseParticipation,apCoursePassed,freeAndReducedPriceLunch,idea,percentTeachersInFirstSecondYear,plan504,gsId
45.63,6.52,11.87,3.96,0.17,0.76,31.08,1071,46.8,885,18.16,8.8,7.9,1.5,1
39.42,3.05,13.03,16.07,0,0.51,27.92,1071,46.8,885,6.26,10.1,4.2,0,2
39.23,3.7,14.31,16.24,0.16,0.16,26.21,1071,46.8,885,7.4,8.5,11.1,1.7,4
14.23,1.88,13.39,12.97,0.42,0,57.11,1071,46.8,885,11.3,8.4,0,0,5
35.63,17.51,16.69,6.66,0.3,1.42,21.78,178,46.8,885,40.34,10.9,1.8,2,6
15.04,2.95,17.11,12.98,0,0,51.92,178,46.8,885,13.57,7.2,18.2,0.6,7
38.58,10.73,22.15,10.73,0.46,1.14,16.21,178,46.8,885,50.68,8.4,10,1.8,8
10.26,18.8,39.32,7.69,1.71,2.56,19.66,4,46.8,885,46.15,11.2,10,3.9,9
44.03,4.28,10.25,5.41,0.23,0.79,35.02,4,46.8,885,12.61,9.9,2.6,2.3,10
40.96,4.23,18.65,12.69,0.19,0.96,22.31,4,46.8,885,26.15,7.4,4.3,0,12
22.26,3.37,15.35,18.04,0.17,0.34,40.47,4,46.8,885,17.03,8.1,4,1.4,14
34.01,6.73,21.21,13.47,0.67,0.34,23.57,4,46.8,885,42.09,10.1,10.5,0.6,15
46.37,14.53,15.17,4.91,0.21,2.56,16.24,4,46.8,885,46.37,13.9,17.9,1.7,17
30.33,4.88,16.61,10.41,0.25,0.33,37.19,207,35.4,517,17.02,9.5,13.6,5.3,19
29.27,3.46,15.87,10.84,0.11,0.22,40.22,207,35.4,517,17.43,8.3,4.3,3.1,20
29.74,2.92,12.23,17.34,0,0.18,37.59,207,35.4,517,10.95,6.2,0,0.7,21
6.25,31.25,43.75,12.5,0,0,6.25,0,35.4,517,56.25,8.5,0,8.5,22
19.11,2.21,15.09,15.49,0.2,0,47.89,0,35.4,517,13.68,6.9,7.8,1.4,23
9.48,18.5,21.43,10.54,0.35,0.19,39.51,867,33.4,1157,27.66,10.1,2.2,0.9,25
6.48,12.1,22.46,13.39,0,0,45.57,867,33.4,1157,30.24,9.9,0,1.6,26
5.01,17.18,25.06,15.04,0.24,0.24,37.23,867,33.4,1157,37.47,11.4,0,0.5,27
8.52,21.31,17.7,14.43,0,0,38.03,867,33.4,1157,41.31,9.8,0,2.4,29
8.77,11.61,17.54,17.06,0.24,0.24,44.55,867,33.4,1157,31.28,11.4,1.2,1.2,30
7.89,13.34,17.82,12.76,0.29,0.39,47.52,867,33.4,1157,35.15,12.9,0,1.4,31
4.52,15.25,48.02,10.17,0.85,0,21.19,867,33.4,1157,45.2,9.9,5.9,1.2,32
5.86,24.02,37.11,10.16,0,0,22.85,867,33.4,1157,50,18.6,3.6,1.5,33
7.01,16.29,15.59,16.29,0,0,44.83,867,33.4,1157,31,10.8,4.2,0.9,34
10.27,22.26,17.81,14.04,0,0,35.62,867,33.4,1157,44.86,11.6,0,0.8,35
4.97,20.2,16.89,22.19,0.66,0.99,34.11,867,33.4,1157,41.06,11.6,5.5,2.3,36
5.66,11.09,37.56,11.99,0,0,33.71,867,33.4,1157,41.63,9.3,0,0.9,37
9.01,14.59,13.3,12.66,0,0.21,50.21,867,33.4,1157,30.26,11,11.2,0.9,38
11.61,13.62,14.51,16.74,0.22,0.45,42.86,867,33.4,1157,34.15,9.2,4.7,1,39
10.19,20.56,17.05,13.36,0,0.18,38.66,867,33.4,1157,45.69,16.4,3.2,1.3,40
31.44,7.37,24.93,10.34,0.07,0.5,25.35,867,33.4,1157,22.66,9.4,8.9,1.8,41
15.99,7.89,40.51,10.66,0.43,0.64,23.88,867,33.4,1157,41.15,6.6,5.9,0.5,42
31.06,7.85,22.45,8.71,0.34,0.41,29.17,602,20.6,779,20.33,6.7,8.4,3.1,43
28.73,3.07,17.98,13.16,0,1.1,35.96,602,20.6,779,17.76,5.1,17,1.6,44
26.23,3.03,20.55,11.48,0.5,0.63,37.58,602,20.6,779,19.29,5.2,6.8,4.3,45
37.37,6.13,15.93,13.17,0.31,0.46,26.65,602,20.6,779,13.63,3.9,4.2,1.2,46
