gsId,name,type,gradeRange,enrollment,parentRating,gsRating,district,districtId,districtNCESId,ncesId,address,city,state,lat,lon,phone
1,Alameda High School,public,9-12,1853,4,9,Alameda Unified School District,1,0601770,060177000041,"2201 Encinal Avenue, 
Alameda, CA  94501",Alameda,CA,37.764294,-122.24807,(510) 337-7022
2,Bay Farm,public,K-8,591,5,9,Alameda Unified School District,1,0601770,060177000006,"200 Aughinbaugh Way, 
Alameda, CA  94502",Alameda,CA,37.739,-122.25195,(510) 748-4010
4,Amelia Earhart Elementary School,public,K-5,622,5,9,Alameda Unified School District,1,0601770,060177000043,"400 Packet Landing Road, 
Alameda, CA  94502",Alameda,CA,37.74529,-122.23928,(510) 748-4003
5,Edison Elementary School,public,K-5,478,4,9,Alameda Unified School District,1,0601770,060177000044,"2700 Buena Vista Avenue, 
Alameda, CA  94501",Alameda,CA,37.765083,-122.23421,(510) 748-4002
6,Encinal Junior/Senior High,public,6-12,1336,4,6,Alameda Unified School District,1,0601770,060177000045,"210 Central Avenue, 
Alameda, CA  94501",Alameda,CA,37.772766,-122.289,(510) 748-4023
7,Franklin Elementary School,public,K-5,339,5,8,Alameda Unified School District,1,0601770,060177004337,"1433 San Antonio Avenue, 
Alameda, CA  94501",Alameda,CA,37.769035,-122.2616,(510) 748-4004
8,Henry Haight Elementary School,public,K-5,438,3,7,Alameda Unified School District,1,0601770,060177000047,"2025 Santa Clara Avenue, 
Alameda, CA  94501",Alameda,CA,37.769333,-122.25106,(510) 748-4005
9,Island High (Continuation) School,public,9-12,117,4,7,Alameda Unified School District,1,0601770,060177000048,"500 Pacific Avenue, 
Alameda, CA  94501",Alameda,CA,37.775723,-122.28124,(510) 748-4024
10,Lincoln Middle School,public,6-8,888,4,9,Alameda Unified School District,1,0601770,060177000049,"1250 Fernside Boulevard, 
Alameda, CA  94501",Alameda,CA,37.752243,-122.23276,(510) 748-4018
12,Donald D. Lum Elementary School,public,4-5,520,4,9,Alameda Unified School District,1,0601770,060177000051,"420 Grand Street, 
Alameda, CA  94501",Alameda,CA,37.761326,-122.26245,(510) 748-4015
