gsId,name,old name,matching,shoot,type,gradeCategory,gradeRange,enrollment,parentRating,gsRating,district,districtId,districtNCESId,ncesId,address,city,gsID_census,Asian,"Black, non-Hispanic",Hispanic,Multiracial,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander,"White, non-Hispanic",actSatNumberParticipation,apCourseParticipation,apCoursePassed,freeAndReducedPriceLunch,idea,percentTeachersInFirstSecondYear,plan504
1,Alameda High School,,,0,public,9-12,12-Sep,1853,4,9,Alameda Unified School District,1,601770,60177000041,"2201 Encinal Avenue, 
Alameda, CA  94501",Alameda,1,45.63,6.52,11.87,3.96,0.17,0.76,31.08,1071,46.8,885,18.16,8.8,7.9,1.5
2,Bay Farm,,,0,public,K-8,K-8,591,5,9,Alameda Unified School District,1,601770,60177000006,"200 Aughinbaugh Way, 
Alameda, CA  94502",Alameda,2,39.42,3.05,13.03,16.07,0,0.51,27.92,1071,46.8,885,6.26,10.1,4.2,0
4,Amelia Earhart Elementary School,,,0,public,K-5,K-5,622,5,9,Alameda Unified School District,1,601770,60177000043,"400 Packet Landing Road, 
Alameda, CA  94502",Alameda,4,39.23,3.7,14.31,16.24,0.16,0.16,26.21,1071,46.8,885,7.4,8.5,11.1,1.7
5,Edison Elementary School,,,0,public,K-5,K-5,478,4,9,Alameda Unified School District,1,601770,60177000044,"2700 Buena Vista Avenue, 
Alameda, CA  94501",Alameda,5,14.23,1.88,13.39,12.97,0.42,0,57.11,1071,46.8,885,11.3,8.4,0,0
6,Encinal Junior/Senior High,,,0,public,6-12,12-Jun,1336,4,6,Alameda Unified School District,1,601770,60177000045,"210 Central Avenue, 
Alameda, CA  94501",Alameda,6,35.63,17.51,16.69,6.66,0.3,1.42,21.78,178,46.8,885,40.34,10.9,1.8,2
7,Franklin Elementary School,,,0,public,K-5,K-5,339,5,8,Alameda Unified School District,1,601770,60177004337,"1433 San Antonio Avenue, 
Alameda, CA  94501",Alameda,7,15.04,2.95,17.11,12.98,0,0,51.92,178,46.8,885,13.57,7.2,18.2,0.6
8,Henry Haight Elementary School,,,0,public,K-5,K-5,438,3,7,Alameda Unified School District,1,601770,60177000047,"2025 Santa Clara Avenue, 
Alameda, CA  94501",Alameda,8,38.58,10.73,22.15,10.73,0.46,1.14,16.21,178,46.8,885,50.68,8.4,10,1.8
9,Island High (Continuation) School,,,0,public,9-12,12-Sep,117,4,7,Alameda Unified School District,1,601770,60177000048,"500 Pacific Avenue, 
Alameda, CA  94501",Alameda,9,10.26,18.8,39.32,7.69,1.71,2.56,19.66,4,46.8,885,46.15,11.2,10,3.9
10,Lincoln Middle School,,,0,public,6-8,8-Jun,888,4,9,Alameda Unified School District,1,601770,60177000049,"1250 Fernside Boulevard, 
Alameda, CA  94501",Alameda,10,44.03,4.28,10.25,5.41,0.23,0.79,35.02,4,46.8,885,12.61,9.9,2.6,2.3
12,Donald D. Lum Elementary School,,,0,public,K-5,5-Apr,520,4,9,Alameda Unified School District,1,601770,60177000051,"420 Grand Street, 
Alameda, CA  94501",Alameda,12,40.96,4.23,18.65,12.69,0.19,0.96,22.31,4,46.8,885,26.15,7.4,4.3,0
14,Frank Otis Elementary School,,,0,public,K-5,K-5,593,4,7,Alameda Unified School District,1,601770,60177000054,"3010 Fillmore Street, 
Alameda, CA  94501",Alameda,14,22.26,3.37,15.35,18.04,0.17,0.34,40.47,4,46.8,885,17.03,8.1,4,1.4
15,William G. Paden Elementary School,,,0,public,K-5,K-5,297,4,6,Alameda Unified School District,1,601770,60177000003,"444 Central Avenue, 
Alameda, CA  94501",Alameda,15,34.01,6.73,21.21,13.47,0.67,0.34,23.57,4,46.8,885,42.09,10.1,10.5,0.6
17,Will C. Wood Middle School,,,0,public,6-8,8-Jun,468,4,7,Alameda Unified School District,1,601770,60177000057,"420 Grand Street, 
Alameda, CA  94501",Alameda,17,46.37,14.53,15.17,4.91,0.21,2.56,16.24,4,46.8,885,46.37,13.9,17.9,1.7
19,Albany High School,,,0,public,9-12,12-Sep,1210,4,9,Albany City Unified School District,2,601860,60186000059,"603 Key Route Boulevard, 
Albany, CA  94706",Albany,19,30.33,4.88,16.61,10.41,0.25,0.33,37.19,207,35.4,517,17.02,9.5,13.6,5.3
20,Albany Middle School,,,0,public,6-8,8-Jun,895,4,9,Albany City Unified School District,2,601860,60186000060,"1259 Brighton Avenue, 
Albany, CA  94706",Albany,20,29.27,3.46,15.87,10.84,0.11,0.22,40.22,207,35.4,517,17.43,8.3,4.3,3.1
21,Cornell Elementary School,,,0,public,K-5,K-5,548,4,10,Albany City Unified School District,2,601860,60186000061,"920 Talbot Avenue, 
Albany, CA  94706",Albany,21,29.74,2.92,12.23,17.34,0,0.18,37.59,207,35.4,517,10.95,6.2,0,0.7
22,Macgregor High (Continuation) School,,,0,public,9-12,12-Oct,16,2,2,Albany City Unified School District,2,601860,60186007638,"603 Key Route Blvd, 
Albany, CA  94706",Albany,22,6.25,31.25,43.75,12.5,0,0,6.25,0,35.4,517,56.25,8.5,0,8.5
23,Marin Elementary School,,,0,public,K-5,K-5,499,4,8,Albany City Unified School District,2,601860,60186000062,"1001 Santa Fe Avenue, 
Albany, CA  94706",Albany,23,19.11,2.21,15.09,15.49,0.2,0,47.89,0,35.4,517,13.68,6.9,7.8,1.4
